elo_home,elo_away,elo_diff,home_adv,ppg5_home,ppg5_away,ppg10_home,ppg10_away,gf5_home,ga5_home,gf5_away,ga5_away,gd10_home,gd10_away,streak_home,streak_away,rest_home,rest_away,h2h_winrate_home,h2h_drawrate,h2h_gd_home,h2h_games,importance,label
1540.0099150151016,1656.8748443317265,-116.86492931662497,0,1.6,2.0,1.2,1.6,1.0,0.4,1.6,1.2,0.0,0.2,0,2,90,5,0.13333333333333333,0.4,-0.26666666666666666,15,20.0,away_win
1263.6875764045633,1880.7851287820292,-552.097552377466,1,0.2,1.6,0.1,2.0,0.2,2.8,1.6,1.2,-2.1,1.4,-4,0,29,29,0.0,0.3333333333333333,-0.6666666666666666,3,20.0,draw
1707.450368518203,1840.415573274139,-67.96520475593593,1,0.6,1.8,0.9,1.9,0.6,1.4,3.8,0.8,-0.4,2.2,-1,1,29,35,0.16666666666666666,0.16666666666666666,-1.1666666666666667,6,20.0,away_win
1787.963287511712,1432.1404588225096,420.8228286892024,1,1.6,0.8,1.8,0.9,1.6,1.2,0.6,1.0,0.4,-0.7,0,-3,31,31,0.7,0.2,1.4,20,50.0,draw
1387.8049608115014,1402.577143634188,50.227817177313455,1,1.2,1.0,1.1,0.8,1.0,1.8,1.0,1.2,-0.6,-0.6,2,0,31,7,0.3333333333333333,0.0,-0.3333333333333333,3,50.0,home_win
1742.0464502268624,1428.7096336755317,378.3368165513307,1,2.2,1.0,1.7,0.7,1.8,0.4,0.8,1.0,0.8,-0.7,0,-2,31,33,0.5,0.25,0.0,0,50.0,home_win
1774.0024018538516,1452.9841690776336,386.0182327762179,1,1.6,1.6,1.7,1.3,1.8,1.0,1.2,0.8,0.6,-0.2,0,-1,31,90,0.3333333333333333,0.6666666666666666,1.3333333333333333,3,50.0,home_win
1608.3230922230002,1239.2000890692873,434.12300315371294,1,1.4,1.2,1.3,0.6,1.0,1.2,1.2,1.8,-0.2,-1.0,-1,-2,33,90,0.5,0.25,0.0,0,50.0,home_win
1671.1126681028525,1439.688394757434,296.42427334541844,1,1.6,1.4,1.5,1.3,1.8,1.0,1.0,1.2,0.6,-0.2,2,0,35,36,0.5,0.25,0.5,4,50.0,home_win
1872.2077182099983,1912.3433549966796,24.86436321331871,1,1.0,0.4,0.7,0.9,1.4,1.6,1.0,1.8,-0.6,-0.3,0,-1,31,31,0.5432098765432098,0.1728395061728395,0.2839506172839506,81,50.0,home_win
2064.4997948629566,1978.9761945882615,150.52360027469513,1,2.0,1.6,1.7,1.9,1.4,1.0,1.8,1.8,0.3,0.3,0,-1,31,31,0.2926829268292683,0.24390243902439024,-0.2926829268292683,41,50.0,away_win
1852.5570404905652,1641.7246338953225,210.83240659524267,0,2.0,1.2,2.2,1.5,1.6,0.4,0.6,1.6,1.6,0.0,1,2,31,31,1.0,0.0,3.0,1,20.0,home_win
1727.9852713034174,1771.386366695849,-43.40109539243144,0,0.8,1.2,0.7,1.9,0.6,1.0,2.4,2.0,-0.4,0.8,-3,-2,31,32,0.5,0.25,0.0,0,20.0,draw
1040.9731664222434,1136.7464646690428,-30.773298246799413,1,1.4,0.6,1.4,0.5,1.6,1.6,0.4,3.2,-0.1,-2.0,-1,-3,90,90,0.5454545454545454,0.13636363636363635,0.45454545454545453,22,20.0,home_win
